category,year,month,people,timestamp,,,,,,,,,,
Crime,2019,M,2546176,"May 1, 2019",,,,,,,,,,
Crime,2019,J,2524160,"June 1, 2019",,,,,,,,,,
Crime,2019,J,2612224,"July 1, 2019",,,,,,,,,,
Crime,2019,A,2593280,"August 1, 2019",,,,,,,,,,
Crime,2019,S,2506240,"September 1, 2019",,,,,,,,,,
Crime,2019,O,2568192,"October 1, 2019",,,,,,,,,,
Crime,2019,N,2532352,"November 1, 2019",,,,,,,,,,
Crime,2019,D,2635776,"December 1, 2019",,,,,,,,,,
Crime,2020,J,2699776,"January 1, 2020",,,,,,,,,,
Crime,2020,F,2534400,"February 1, 2020",,,,,,,,,,
Crime,2020,M,2337792,"March 1, 2020",,,,,,,,,,
Crime,2020,A,2324992,"April 1, 2020",,,,,,,,,,
Crime,2020,M,2410496,"May 1, 2020",,,,,,,,,,
Crime,2020,J,2107904,"June 1, 2020",,,,,,,,,,
Crime,2020,J,2493440,"July 1, 2020",,,,,,,,,,
Crime,2020,A,2775552,"August 1, 2020",,,,,,,,,,
Crime,2020,S,2714624,"September 1, 2020",,,,,,,,,,
Crime,2020,O,2839040,"October 1, 2020",,,,,,,,,,
Crime,2020,N,2571776,"November 1, 2020",,,,,,,,,,
Crime,2020,D,2398720,"December 31, 2020",,,,,,,,,,
Crime,2021,J,2000000,"January 31, 2021",,,,,,,,,,
