num,date,duration,name,note,link,media,mediaurl,credit,caption
10,10/27/2016,50,Dakota Access Pipeline protests,"On Novermber 20th, More than 300 people are injured, 26 seriously, after police use water cannons, tear gas, rubber bullets, and concussion grenades on a peaceful protest against the proposed construction of the Dakota Access Pipeline on the Standing Rock Indian Reservation.",https://en.wikipedia.org/wiki/Dakota_Access_Pipeline_protests,img,Sacred_Stone_Camp_North_Dakota_(29167637232).jpg,"By Tony Webster from Minneapolis, Minnesota - Sacred Stone Camp, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=54799791",Sacred Stone Camp
11,12/4/2016,1,Pizzagate shooting,"A man from Salisbury, North Carolina briefly opens fire with an AR-15 style rifle inside Comet Ping Pong, a pizzeria in Washington, D.C., wishing to ""self-investigate"" the establishment implicated in a false conspiracy theory that claims the restaurant is used by members of the Democratic Party for a child-sex ring. No injuries are reported, and the man is arrested without incident and immediately charged with assault with a dangerous weapon.",https://en.wikipedia.org/wiki/Pizzagate_conspiracy_theory,img,Comet_Ping_Pong_Pizzagate_2016_01.jpg,"By Farragutful - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=54137782",Proponents of Pizzagate connected Comet Ping Pong (pictured) to a fictitious child sex ring[1]
12,12/31/2016,4,Chicago torture incident,"Four African-American individuals kidnap a mentally disabled white man in Chicago, Illinois and livestream their torture of him on Facebook, shouting ""F*** Trump"" and ""F*** white people"" while doing so, prompting widespread reactions on social media. The four suspects are later arrested and charged with a hate crime.",https://en.wikipedia.org/wiki/2017_Chicago_torture_incident,incident,,,
13,1/27/2017,1,Trump travel ban,"President Trump signs an executive order banning the entry of refugees of the Syrian Civil War into the United States indefinitely, and banning the entry of all nationals, regardless of visa status, of Iran, Iraq, Syria, Libya, Somalia, Sudan, and Yemen to the US for 90 days. The order prompts international criticism, a lawsuit from the American Civil Liberties Union, the detainment of legal Muslim travelers at several international airports, and Iran announcing a ban on entry of US citizens into the country until the ban is lifted.",https://en.wikipedia.org/wiki/Trump_travel_ban,img,Trump_signing_Executive_Order_13780_(cropped).jpg,"By Sean Spicer, White House Press Secretary @ twitter - Caption; Picture URL, Public Domain, https://commons.wikimedia.org/w/index.php?curid=57149033",Trump at the signing of Executive Order 13780.
14,2/22/2017,1,"2017 Olathe, Kansas shooting","An Indian engineer is shot dead and another injured in Olathe, Kansas, in an apparent hate crime","https://en.wikipedia.org/wiki/2017_Olathe,_Kansas_shooting",shooting,,,
15,4/15/2017,14,Protests erupt in cities across the country,"Hundreds of President Trump's supporters clash with anti-Trump protesters in Berkeley, California. 21 people are arrested. Protests erupt in cities across the country, most notably at Mar-a-Lago with hundreds of thousands of demonstrators demanding President Trump release his tax returns.",https://en.wikipedia.org/wiki/2017_Berkeley_protests,img,Berkeley_Free_Speech_Week_protest_20170924-8864.jpg,"By Pax Ahimsa Gethen - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=62755236","Protesters and police officers fill Sproul Plaza on September 24, 2017"
16,5/26/2017,1,2017 Portland train attack,"An anti-Muslim stabbing attack aboard a Portland, Oregon commuter train kills two people and injures a third.",https://en.wikipedia.org/wiki/2017_Portland_train_attack,img,Portland_Tri_Met_MAX_stabbing_vigil_2.jpg,"By Ninjanabe - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=59426975",Memorial for victims at the Hollywood Transit Center
17,6/14/2017,1,Congressional baseball shooting,House of Representatives Majority Whip Steve Scalise and his aides are hit by gunfire during a baseball practice in Virginia. The shooter is killed by a security detail.,https://en.wikipedia.org/wiki/Congressional_baseball_shooting,shooting,,,
18,7/27/2017,1,Jeff Bezos becomes the world's richest person,"Jeff Bezos briefly becomes the world's richest person, surpassing Bill Gates with a net worth of just over $90 billion. He loses the title later in the day when Amazon's stock drops, returning him to second place with a net worth just below $90 billion.",https://en.wikipedia.org/wiki/Jeff_Bezos,img,Jeff_Bezos_iconic_laugh.jpg,"By Steve Jurvetson - Flickr: Bezos’ Iconic Laugh, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=21166413",Bezos in 2010
19,8/11/2017,2,Unite the Right rally,"The Unite the Right rally, a gathering of alt-right, white nationalist, neo-Nazi, and neo-Confederate groups protesting the removal of the Robert Edward Lee Sculpture and other Confederate monuments and memorials from public spaces, is held in Charlottesville, Virginia. Violent clashes break out between attendees and counter-protesters; 32-year-old Heather Heyer is killed and many others are injured when a car ploughs into a group of people; and two Virginia State Police troopers are killed when their surveillance helicopter crashes, prompting Governor Terry McAuliffe to declare a state of emergency.",https://en.wikipedia.org/wiki/Unite_the_Right_rally,img,Charlottesville_Unite_the_Right_Rally.jpg,"By Anthony Crider; cropped by Beyond My Ken (talk) 20:37, 9 April 2018 (UTC) - Charlottesville &quot;Unite the Right&quot; Rally, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=68193094","Alt-right members preparing to enter Emancipation Park holding Nazi, Confederate, and Gadsden ""Don't Tread on Me"" flags."
